Test. Epoch 0. Iter 1/168.0, IoU = 0.74
Test. Epoch 0. Iter 2/168.0, IoU = 0.74
Test. Epoch 0. Iter 3/168.0, IoU = 0.75
Test. Epoch 0. Iter 4/168.0, IoU = 0.72
Test. Epoch 0. Iter 5/168.0, IoU = 0.72
Test. Epoch 0. Iter 6/168.0, IoU = 0.71
Test. Epoch 0. Iter 7/168.0, IoU = 0.70
Test. Epoch 0. Iter 8/168.0, IoU = 0.71
Test. Epoch 0. Iter 9/168.0, IoU = 0.71
Test. Epoch 0. Iter 10/168.0, IoU = 0.72
Test. Epoch 0. Iter 11/168.0, IoU = 0.72
Test. Epoch 0. Iter 12/168.0, IoU = 0.72
Test. Epoch 0. Iter 13/168.0, IoU = 0.72
Test. Epoch 0. Iter 14/168.0, IoU = 0.72
Test. Epoch 0. Iter 15/168.0, IoU = 0.73
Test. Epoch 0. Iter 16/168.0, IoU = 0.73
Test. Epoch 0. Iter 17/168.0, IoU = 0.72
Test. Epoch 0. Iter 18/168.0, IoU = 0.72
Test. Epoch 0. Iter 19/168.0, IoU = 0.72
Test. Epoch 0. Iter 20/168.0, IoU = 0.72
Test. Epoch 0. Iter 21/168.0, IoU = 0.72
Test. Epoch 0. Iter 22/168.0, IoU = 0.72
Test. Epoch 0. Iter 23/168.0, IoU = 0.72
Test. Epoch 0. Iter 24/168.0, IoU = 0.73
Test. Epoch 0. Iter 25/168.0, IoU = 0.72
Test. Epoch 0. Iter 26/168.0, IoU = 0.72
Test. Epoch 0. Iter 27/168.0, IoU = 0.71
Test. Epoch 0. Iter 28/168.0, IoU = 0.71
Test. Epoch 0. Iter 29/168.0, IoU = 0.71
Test. Epoch 0. Iter 30/168.0, IoU = 0.71
Test. Epoch 0. Iter 31/168.0, IoU = 0.71
Test. Epoch 0. Iter 32/168.0, IoU = 0.71
Test. Epoch 0. Iter 33/168.0, IoU = 0.71
Test. Epoch 0. Iter 34/168.0, IoU = 0.71
Test. Epoch 0. Iter 35/168.0, IoU = 0.71
Test. Epoch 0. Iter 36/168.0, IoU = 0.71
Test. Epoch 0. Iter 37/168.0, IoU = 0.70
Test. Epoch 0. Iter 38/168.0, IoU = 0.70
Test. Epoch 0. Iter 39/168.0, IoU = 0.69
Test. Epoch 0. Iter 40/168.0, IoU = 0.68
Test. Epoch 0. Iter 41/168.0, IoU = 0.68
Test. Epoch 0. Iter 42/168.0, IoU = 0.67
Test. Epoch 0. Iter 43/168.0, IoU = 0.67
Test. Epoch 0. Iter 44/168.0, IoU = 0.66
Test. Epoch 0. Iter 45/168.0, IoU = 0.66
Test. Epoch 0. Iter 46/168.0, IoU = 0.65
Test. Epoch 0. Iter 47/168.0, IoU = 0.65
Test. Epoch 0. Iter 48/168.0, IoU = 0.64
Test. Epoch 0. Iter 49/168.0, IoU = 0.64
Test. Epoch 0. Iter 50/168.0, IoU = 0.64
Test. Epoch 0. Iter 51/168.0, IoU = 0.63
Test. Epoch 0. Iter 52/168.0, IoU = 0.63
Test. Epoch 0. Iter 53/168.0, IoU = 0.63
Test. Epoch 0. Iter 54/168.0, IoU = 0.63
Test. Epoch 0. Iter 55/168.0, IoU = 0.62
Test. Epoch 0. Iter 56/168.0, IoU = 0.62
Test. Epoch 0. Iter 57/168.0, IoU = 0.62
Test. Epoch 0. Iter 58/168.0, IoU = 0.61
Test. Epoch 0. Iter 59/168.0, IoU = 0.61
Test. Epoch 0. Iter 60/168.0, IoU = 0.61
Test. Epoch 0. Iter 61/168.0, IoU = 0.60
Test. Epoch 0. Iter 62/168.0, IoU = 0.60
Test. Epoch 0. Iter 63/168.0, IoU = 0.60
Test. Epoch 0. Iter 64/168.0, IoU = 0.59
Test. Epoch 0. Iter 65/168.0, IoU = 0.59
Test. Epoch 0. Iter 66/168.0, IoU = 0.59
Test. Epoch 0. Iter 67/168.0, IoU = 0.59
Test. Epoch 0. Iter 68/168.0, IoU = 0.58
Test. Epoch 0. Iter 69/168.0, IoU = 0.58
Test. Epoch 0. Iter 70/168.0, IoU = 0.58
Test. Epoch 0. Iter 71/168.0, IoU = 0.58
